Year,Continent,Country,ln_Visitors,ln_GDP (LCU),ln_GDP (USD'15),ln_Real Exchange Rate
2011,Europe,Denmark,9.289 ,28.300 ,26.385 ,-3.376 
2012,Europe,Denmark,9.517 ,28.300 ,26.387 ,-3.321 
2013,Europe,Denmark,9.620 ,28.300 ,26.397 ,-3.357 
2014,Europe,Denmark,9.793 ,28.300 ,26.413 ,-3.335 
2015,Europe,Denmark,9.986 ,28.300 ,26.436 ,-3.152 
2016,Europe,Denmark,10.079 ,28.400 ,26.468 ,-3.156 
2017,Europe,Denmark,10.136 ,28.400 ,26.496 ,-3.182 
2018,Europe,Denmark,10.281 ,28.400 ,26.515 ,-3.224 
2019,Europe,Denmark,10.401 ,28.400 ,26.530 ,-3.172 
2022,Europe,Denmark,8.595 ,28.500 ,26.599 ,-3.187 
2023,Europe,Denmark,10.335 ,28.500 ,26.618 ,-3.214 
2010,Europe,Finland,9.739 ,26.100 ,26.177 ,-5.305 
2011,Europe,Finland,9.300 ,26.100 ,26.202 ,-5.391 
2012,Europe,Finland,9.650 ,26.100 ,26.188 ,-5.339 
2013,Europe,Finland,9.713 ,26.100 ,26.179 ,-5.384 
2014,Europe,Finland,9.886 ,26.100 ,26.175 ,-5.366 
2015,Europe,Finland,10.028 ,26.100 ,26.181 ,-5.177 
2016,Europe,Finland,10.073 ,26.100 ,26.209 ,-5.180 
2017,Europe,Finland,10.139 ,26.100 ,26.240 ,-5.201 
2018,Europe,Finland,10.208 ,26.100 ,26.251 ,-5.247 
2019,Europe,Finland,10.290 ,26.200 ,26.264 ,-5.200 
2022,Europe,Finland,8.436 ,26.200 ,26.281 ,-5.208 
2023,Europe,Finland,9.971 ,26.200 ,26.271 ,-5.265 
2010,Europe,France,11.925 ,28.400 ,28.472 ,-5.305 
2011,Europe,France,11.466 ,28.400 ,28.493 ,-5.378 
2012,Europe,France,11.778 ,28.400 ,28.496 ,-5.318 
2013,Europe,France,11.950 ,28.400 ,28.502 ,-5.357 
2014,Europe,France,12.093 ,28.400 ,28.512 ,-5.334 
2015,Europe,France,12.275 ,28.400 ,28.523 ,-5.147 
2016,Europe,France,12.443 ,28.400 ,28.534 ,-5.148 
2017,Europe,France,12.501 ,28.500 ,28.556 ,-5.172 
2018,Europe,France,12.628 ,28.500 ,28.575 ,-5.226 
2019,Europe,France,12.726 ,28.500 ,28.593 ,-5.180 
2022,Europe,France,10.874 ,28.500 ,28.601 ,-5.166 
2023,Europe,France,12.533 ,28.500 ,28.608 ,-5.210 
2010,Europe,Germany,11.731 ,28.700 ,28.759 ,-5.305 
2011,Europe,Germany,11.299 ,28.700 ,28.797 ,-5.378 
2012,Europe,Germany,11.598 ,28.700 ,28.801 ,-5.318 
2013,Europe,Germany,11.710 ,28.700 ,28.806 ,-5.363 
2014,Europe,Germany,11.851 ,28.700 ,28.827 ,-5.344 
2015,Europe,Germany,11.999 ,28.700 ,28.842 ,-5.162 
2016,Europe,Germany,12.119 ,28.800 ,28.864 ,-5.166 
2017,Europe,Germany,12.184 ,28.800 ,28.891 ,-5.195 
2018,Europe,Germany,12.280 ,28.800 ,28.901 ,-5.248 
2019,Europe,Germany,12.374 ,28.800 ,28.911 ,-5.205 
2022,Europe,Germany,10.731 ,28.800 ,28.921 ,-5.218 
2023,Europe,Germany,12.361 ,28.800 ,28.918 ,-5.272 
2010,Asia,"Hong Kong SAR, China",13.140 ,28.500 ,26.313 ,-2.974 
2011,Asia,"Hong Kong SAR, China",12.807 ,28.500 ,26.360 ,-3.029 
2012,Asia,"Hong Kong SAR, China",13.085 ,28.500 ,26.376 ,-3.072 
2013,Asia,"Hong Kong SAR, China",13.522 ,28.600 ,26.407 ,-3.110 
2014,Asia,"Hong Kong SAR, China",13.739 ,28.600 ,26.434 ,-3.126 
2015,Asia,"Hong Kong SAR, China",14.237 ,28.600 ,26.458 ,-3.148 
2016,Asia,"Hong Kong SAR, China",14.425 ,28.600 ,26.479 ,-3.173 
2017,Asia,"Hong Kong SAR, China",14.618 ,28.700 ,26.517 ,-3.175 
2018,Asia,"Hong Kong SAR, China",14.608 ,28.700 ,26.545 ,-3.187 
2019,Asia,"Hong Kong SAR, China",14.644 ,28.700 ,26.528 ,-3.216 
2022,Asia,"Hong Kong SAR, China",12.504 ,28.600 ,26.485 ,-3.230 
2023,Asia,"Hong Kong SAR, China",14.564 ,28.700 ,26.517 ,-3.216 
2010,Asia,India,11.110 ,32.000 ,28.060 ,-1.202 
2011,Asia,India,10.991 ,32.100 ,28.111 ,-1.270 
2012,Asia,India,11.141 ,32.200 ,28.164 ,-1.225 
2013,Asia,India,11.227 ,32.200 ,28.226 ,-1.225 
2014,Asia,India,11.385 ,32.300 ,28.298 ,-1.222 
2015,Asia,India,11.543 ,32.400 ,28.375 ,-1.212 
2016,Asia,India,11.719 ,32.400 ,28.454 ,-1.215 
2017,Asia,India,11.808 ,32.500 ,28.520 ,-1.274 
2018,Asia,India,11.945 ,32.600 ,28.582 ,-1.253 
2019,Asia,India,12.078 ,32.600 ,28.620 ,-1.257 
2022,Asia,India,10.903 ,32.700 ,28.721 ,-1.304 
2023,Asia,India,12.022 ,32.800 ,28.794 ,-1.277 
2010,Asia,Indonesia,11.298 ,36.500 ,27.212 ,4.089 
2011,Asia,Indonesia,11.033 ,36.500 ,27.272 ,4.000 
2012,Asia,Indonesia,11.527 ,36.600 ,27.331 ,4.024 
2013,Asia,Indonesia,11.826 ,36.600 ,27.385 ,4.071 
2014,Asia,Indonesia,11.975 ,36.700 ,27.434 ,4.166 
2015,Asia,Indonesia,12.231 ,36.700 ,27.481 ,4.234 
2016,Asia,Indonesia,12.510 ,36.800 ,27.530 ,4.190 
2017,Asia,Indonesia,12.772 ,36.800 ,27.580 ,4.164 
2018,Asia,Indonesia,12.891 ,36.900 ,27.630 ,4.205 
2019,Asia,Indonesia,12.931 ,36.900 ,27.679 ,4.173 
2022,Asia,Indonesia,11.693 ,37.000 ,27.746 ,4.168 
2023,Asia,Indonesia,12.970 ,37.000 ,27.796 ,4.190 
2010,Asia,Israel,9.560 ,27.600 ,26.252 ,-3.707 
2011,Asia,Israel,8.844 ,27.700 ,26.307 ,-3.787 
2012,Asia,Israel,9.251 ,27.700 ,26.332 ,-3.729 
2013,Asia,Israel,9.580 ,27.700 ,26.375 ,-3.807 
2014,Asia,Israel,9.842 ,27.800 ,26.414 ,-3.794 
2015,Asia,Israel,9.996 ,27.800 ,26.438 ,-3.697 
2016,Asia,Israel,10.290 ,27.800 ,26.483 ,-3.705 
2017,Asia,Israel,10.397 ,27.900 ,26.524 ,-3.767 
2018,Asia,Israel,10.576 ,27.900 ,26.564 ,-3.767 
2019,Asia,Israel,10.697 ,28.000 ,26.605 ,-3.779 
2022,Asia,Israel,8.945 ,28.100 ,26.735 ,-3.867 
2023,Asia,Israel,10.718 ,28.100 ,26.755 ,-3.784 
2010,Europe,Italy,11.041 ,28.200 ,28.273 ,-5.305 
2011,Europe,Italy,10.435 ,28.200 ,28.280 ,-5.384 
2012,Europe,Italy,10.855 ,28.100 ,28.250 ,-5.335 
2013,Europe,Italy,11.116 ,28.100 ,28.231 ,-5.377 
2014,Europe,Italy,11.296 ,28.100 ,28.231 ,-5.352 
2015,Europe,Italy,11.544 ,28.100 ,28.239 ,-5.165 
2016,Europe,Italy,11.689 ,28.100 ,28.252 ,-5.163 
2017,Europe,Italy,11.743 ,28.200 ,28.268 ,-5.189 
2018,Europe,Italy,11.919 ,28.200 ,28.278 ,-5.236 
2019,Europe,Italy,12.000 ,28.200 ,28.282 ,-5.185 
2022,Europe,Italy,10.073 ,28.200 ,28.307 ,-5.196 
2023,Europe,Italy,11.934 ,28.200 ,28.316 ,-5.247 
2010,Asia,"Korea, Rep.",14.707 ,34.900 ,27.863 ,2.029 
2011,Asia,"Korea, Rep.",14.321 ,34.900 ,27.899 ,1.986 
2012,Asia,"Korea, Rep.",14.530 ,35.000 ,27.923 ,2.003 
2013,Asia,"Korea, Rep.",14.714 ,35.000 ,27.954 ,1.974 
2014,Asia,"Korea, Rep.",14.829 ,35.000 ,27.986 ,1.935 
2015,Asia,"Korea, Rep.",15.202 ,35.000 ,28.014 ,2.008 
2016,Asia,"Korea, Rep.",15.443 ,35.100 ,28.043 ,2.032 
2017,Asia,"Korea, Rep.",15.781 ,35.100 ,28.074 ,2.006 
2018,Asia,"Korea, Rep.",15.836 ,35.100 ,28.102 ,1.979 
2019,Asia,"Korea, Rep.",15.536 ,35.200 ,28.125 ,2.037 
2022,Asia,"Korea, Rep.",13.828 ,35.200 ,28.185 ,2.140 
2023,Asia,"Korea, Rep.",15.755 ,35.200 ,28.199 ,2.151 
2010,Asia,Malaysia,11.648 ,27.500 ,26.173 ,-3.856 
2011,Asia,Malaysia,11.309 ,27.600 ,26.224 ,-3.949 
2012,Asia,Malaysia,11.777 ,27.600 ,26.278 ,-3.961 
2013,Asia,Malaysia,12.081 ,27.700 ,26.324 ,-3.951 
2014,Asia,Malaysia,12.427 ,27.700 ,26.382 ,-3.899 
2015,Asia,Malaysia,12.630 ,27.800 ,26.432 ,-3.719 
2016,Asia,Malaysia,12.885 ,27.800 ,26.475 ,-3.672 
2017,Asia,Malaysia,12.994 ,27.900 ,26.532 ,-3.650 
2018,Asia,Malaysia,13.057 ,27.900 ,26.579 ,-3.718 
2019,Asia,Malaysia,13.126 ,28.000 ,26.622 ,-3.691 
2022,Asia,Malaysia,11.213 ,28.000 ,26.681 ,-3.688 
2023,Asia,Malaysia,12.938 ,28.100 ,26.718 ,-3.656 
2010,North America,Mexico,9.865 ,30.600 ,27.696 ,-2.489 
2011,North America,Mexico,9.479 ,30.700 ,27.730 ,-2.538 
2012,North America,Mexico,9.826 ,30.700 ,27.764 ,-2.498 
2013,North America,Mexico,10.058 ,30.700 ,27.773 ,-2.546 
2014,North America,Mexico,10.323 ,30.700 ,27.798 ,-2.509 
2015,North America,Mexico,10.513 ,30.800 ,27.824 ,-2.344 
2016,North America,Mexico,10.681 ,30.800 ,27.842 ,-2.204 
2017,North America,Mexico,11.058 ,30.800 ,27.860 ,-2.225 
2018,North America,Mexico,11.134 ,30.800 ,27.880 ,-2.207 
2019,North America,Mexico,11.181 ,30.800 ,27.877 ,-2.208 
2022,North America,Mexico,9.122 ,30.800 ,27.882 ,-2.189 
2023,North America,Mexico,11.458 ,30.800 ,27.914 ,-2.306 
2010,Europe,Norway,9.240 ,28.700 ,26.598 ,-3.225 
2011,Europe,Norway,8.975 ,28.700 ,26.609 ,-3.337 
2012,Europe,Norway,9.345 ,28.700 ,26.636 ,-3.340 
2013,Europe,Norway,9.553 ,28.700 ,26.646 ,-3.365 
2014,Europe,Norway,9.631 ,28.800 ,26.666 ,-3.307 
2015,Europe,Norway,9.831 ,28.800 ,26.685 ,-3.078 
2016,Europe,Norway,9.861 ,28.800 ,26.696 ,-3.068 
2017,Europe,Norway,9.942 ,28.800 ,26.721 ,-3.138 
2018,Europe,Norway,10.024 ,28.800 ,26.729 ,-3.192 
2019,Europe,Norway,10.120 ,28.800 ,26.740 ,-3.144 
2022,Europe,Norway,8.226 ,28.900 ,26.795 ,-3.198 
2023,Europe,Norway,9.978 ,28.900 ,26.800 ,-3.125 
2010,Asia,Philippines,11.256 ,30.000 ,26.155 ,-1.216 
2011,Asia,Philippines,11.052 ,30.100 ,26.193 ,-1.272 
2012,Asia,Philippines,11.351 ,30.100 ,26.260 ,-1.305 
2013,Asia,Philippines,11.593 ,30.200 ,26.325 ,-1.316 
2014,Asia,Philippines,12.124 ,30.300 ,26.387 ,-1.265 
2015,Asia,Philippines,12.500 ,30.300 ,26.448 ,-1.253 
2016,Asia,Philippines,12.760 ,30.400 ,26.517 ,-1.247 
2017,Asia,Philippines,12.958 ,30.500 ,26.584 ,-1.201 
2018,Asia,Philippines,13.130 ,30.500 ,26.646 ,-1.175 
2019,Asia,Philippines,13.326 ,30.600 ,26.705 ,-1.209 
2022,Asia,Philippines,11.751 ,30.600 ,26.734 ,-1.238 
2023,Asia,Philippines,13.341 ,30.700 ,26.788 ,-1.239 
2010,Europe,Russian Federation,10.849 ,32.000 ,27.855 ,-1.611 
2011,Europe,Russian Federation,10.428 ,32.000 ,27.897 ,-1.692 
2012,Europe,Russian Federation,10.823 ,32.100 ,27.936 ,-1.667 
2013,Europe,Russian Federation,11.010 ,32.100 ,27.954 ,-1.664 
2014,Europe,Russian Federation,11.068 ,32.100 ,27.961 ,-1.482 
2015,Europe,Russian Federation,10.903 ,32.100 ,27.941 ,-1.016 
2016,Europe,Russian Federation,10.912 ,32.100 ,27.943 ,-0.942 
2017,Europe,Russian Federation,11.255 ,32.100 ,27.961 ,-1.103 
2018,Europe,Russian Federation,11.460 ,32.100 ,27.989 ,-1.072 
2019,Europe,Russian Federation,11.696 ,32.100 ,28.011 ,-1.061 
2022,Europe,Russian Federation,9.242 ,32.200 ,28.017 ,-1.097 
2023,Europe,Russian Federation,10.645 ,32.200 ,28.053 ,-0.901 
2010,Asia,Singapore,12.106 ,26.600 ,26.235 ,-4.715 
2011,Asia,Singapore,11.620 ,26.600 ,26.295 ,-4.850 
2012,Asia,Singapore,11.865 ,26.700 ,26.338 ,-4.901 
2013,Asia,Singapore,12.151 ,26.700 ,26.385 ,-4.920 
2014,Asia,Singapore,12.337 ,26.700 ,26.424 ,-4.890 
2015,Asia,Singapore,12.640 ,26.800 ,26.453 ,-4.795 
2016,Asia,Singapore,12.799 ,26.800 ,26.489 ,-4.787 
2017,Asia,Singapore,12.909 ,26.900 ,26.533 ,-4.788 
2018,Asia,Singapore,12.988 ,26.900 ,26.567 ,-4.805 
2019,Asia,Singapore,13.107 ,26.900 ,26.581 ,-4.795 
2022,Asia,Singapore,11.790 ,27.000 ,26.671 ,-4.843 
2023,Asia,Singapore,13.290 ,27.000 ,26.682 ,-4.884 
2010,Europe,Spain,10.694 ,27.700 ,27.811 ,-5.305 
2011,Europe,Spain,9.943 ,27.700 ,27.803 ,-5.388 
2012,Europe,Spain,10.469 ,27.700 ,27.773 ,-5.333 
2013,Europe,Spain,10.702 ,27.700 ,27.759 ,-5.378 
2014,Europe,Spain,11.011 ,27.700 ,27.772 ,-5.348 
2015,Europe,Spain,11.254 ,27.700 ,27.810 ,-5.156 
2016,Europe,Spain,11.428 ,27.700 ,27.840 ,-5.153 
2017,Europe,Spain,11.511 ,27.800 ,27.869 ,-5.186 
2018,Europe,Spain,11.686 ,27.800 ,27.892 ,-5.238 
2019,Europe,Spain,11.777 ,27.800 ,27.912 ,-5.188 
2022,Europe,Spain,9.676 ,27.800 ,27.911 ,-5.210 
2023,Europe,Spain,11.660 ,27.800 ,27.936 ,-5.241 
2010,Europe,Sweden,10.282 ,29.000 ,26.841 ,-3.050 
2011,Europe,Sweden,9.990 ,29.000 ,26.872 ,-3.186 
2012,Europe,Sweden,10.324 ,29.000 ,26.866 ,-3.152 
2013,Europe,Sweden,10.497 ,29.000 ,26.878 ,-3.188 
2014,Europe,Sweden,10.600 ,29.000 ,26.904 ,-3.107 
2015,Europe,Sweden,10.757 ,29.100 ,26.948 ,-2.892 
2016,Europe,Sweden,10.812 ,29.100 ,26.969 ,-2.889 
2017,Europe,Sweden,10.836 ,29.100 ,26.994 ,-2.903 
2018,Europe,Sweden,10.893 ,29.100 ,27.013 ,-2.895 
2019,Europe,Sweden,10.894 ,29.200 ,27.033 ,-2.824 
2022,Europe,Sweden,8.975 ,29.200 ,27.097 ,-2.841 
2023,Europe,Sweden,10.578 ,29.200 ,27.095 ,-2.843 
2010,Asia,Taiwan,14.053 ,30.300 ,30.332 ,-1.574 
2011,Asia,Taiwan,13.809 ,30.400 ,30.365 ,-1.660 
2012,Asia,Taiwan,14.198 ,30.400 ,30.391 ,-1.674 
2013,Asia,Taiwan,14.609 ,30.400 ,30.416 ,-1.675 
2014,Asia,Taiwan,14.856 ,30.500 ,30.458 ,-1.639 
2015,Asia,Taiwan,15.118 ,30.500 ,30.476 ,-1.581 
2016,Asia,Taiwan,15.243 ,30.500 ,30.499 ,-1.581 
2017,Asia,Taiwan,15.334 ,30.500 ,30.527 ,-1.640 
2018,Asia,Taiwan,15.375 ,30.600 ,30.554 ,-1.653 
2019,Asia,Taiwan,15.403 ,30.600 ,30.586 ,-1.629 
2022,Asia,Taiwan,12.710 ,30.600 ,30.622 ,-1.690 
2023,Asia,Taiwan,15.251 ,30.700 ,30.685 ,-1.638 
2010,Asia,Thailand,12.278 ,29.700 ,26.572 ,-1.568 
2011,Asia,Thailand,11.884 ,29.700 ,26.581 ,-1.647 
2012,Asia,Thailand,12.471 ,29.800 ,26.651 ,-1.658 
2013,Asia,Thailand,13.025 ,29.800 ,26.677 ,-1.688 
2014,Asia,Thailand,13.396 ,29.900 ,26.687 ,-1.624 
2015,Asia,Thailand,13.588 ,29.900 ,26.718 ,-1.553 
2016,Asia,Thailand,13.712 ,29.900 ,26.752 ,-1.528 
2017,Asia,Thailand,13.803 ,30.000 ,26.793 ,-1.568 
2018,Asia,Thailand,13.940 ,30.000 ,26.834 ,-1.617 
2019,Asia,Thailand,14.092 ,30.000 ,26.855 ,-1.661 
2022,Asia,Thailand,12.196 ,30.000 ,26.832 ,-1.579 
2023,Asia,Thailand,13.811 ,30.000 ,26.851 ,-1.567 
2010,Asia,Turkiye,9.203 ,27.700 ,27.144 ,-4.614 
2011,Asia,Turkiye,8.791 ,27.800 ,27.250 ,-4.570 
2012,Asia,Turkiye,9.260 ,27.900 ,27.296 ,-4.587 
2013,Asia,Turkiye,9.431 ,28.000 ,27.378 ,-4.599 
2014,Asia,Turkiye,9.600 ,28.000 ,27.426 ,-4.519 
2015,Asia,Turkiye,9.757 ,28.100 ,27.485 ,-4.364 
2016,Asia,Turkiye,9.807 ,28.100 ,27.518 ,-4.338 
2017,Asia,Turkiye,9.859 ,28.200 ,27.590 ,-4.251 
2018,Asia,Turkiye,9.892 ,28.200 ,27.620 ,-4.107 
2019,Asia,Turkiye,10.031 ,28.200 ,27.628 ,-4.086 
2022,Asia,Turkiye,8.872 ,28.400 ,27.809 ,-3.830 
2023,Asia,Turkiye,10.348 ,28.400 ,27.853 ,-3.868 
2010,Europe,United Kingdom,12.123 ,28.200 ,28.608 ,4.807 
2011,Europe,United Kingdom,11.850 ,28.200 ,28.619 ,4.863 
2012,Europe,United Kingdom,12.067 ,28.200 ,28.634 ,4.853 
2013,Europe,United Kingdom,12.164 ,28.200 ,28.652 ,4.839 
2014,Europe,United Kingdom,12.302 ,28.300 ,28.683 ,4.862 
2015,Europe,United Kingdom,12.463 ,28.300 ,28.705 ,4.892 
2016,Europe,United Kingdom,12.586 ,28.300 ,28.724 ,4.891 
2017,Europe,United Kingdom,12.646 ,28.300 ,28.751 ,4.890 
2018,Europe,United Kingdom,12.719 ,28.300 ,28.764 ,4.888 
2019,Europe,United Kingdom,12.958 ,28.400 ,28.781 ,4.895 
2022,Europe,United Kingdom,10.959 ,28.400 ,28.797 ,4.816 
2023,Europe,United Kingdom,12.681 ,28.400 ,28.798 ,4.804 
2010,North America,United States,13.497 ,30.400 ,30.425 ,-4.474 
2011,North America,United States,13.246 ,30.400 ,30.440 ,-4.412 
2012,North America,United States,13.482 ,30.500 ,30.463 ,-4.434 
2013,North America,United States,13.591 ,30.500 ,30.484 ,-4.647 
2014,North America,United States,13.701 ,30.500 ,30.509 ,-4.717 
2015,North America,United States,13.848 ,30.500 ,30.538 ,-4.845 
2016,North America,United States,14.033 ,30.600 ,30.556 ,-4.750 
2017,North America,United States,14.134 ,30.600 ,30.580 ,-4.798 
2018,North America,United States,14.238 ,30.600 ,30.609 ,-4.797 
2019,North America,United States,14.360 ,30.600 ,30.634 ,-4.797 
2022,North America,United States,12.687 ,30.700 ,30.687 ,-5.098 
2023,North America,United States,14.531 ,30.700 ,30.712 ,-5.173 
2010,Asia,Viet Nam,10.642 ,35.500 ,25.901 ,4.807 
2011,Asia,Viet Nam,10.622 ,35.600 ,25.963 ,4.730 
2012,Asia,Viet Nam,10.918 ,35.700 ,26.017 ,4.658 
2013,Asia,Viet Nam,11.344 ,35.700 ,26.071 ,4.602 
2014,Asia,Viet Nam,11.730 ,35.800 ,26.133 ,4.600 
2015,Asia,Viet Nam,12.130 ,35.800 ,26.201 ,4.627 
2016,Asia,Viet Nam,12.362 ,35.900 ,26.266 ,4.610 
2017,Asia,Viet Nam,12.641 ,36.000 ,26.333 ,4.600 
2018,Asia,Viet Nam,12.871 ,36.000 ,26.405 ,4.586 
2019,Asia,Viet Nam,13.112 ,36.100 ,26.476 ,4.582 
2022,Asia,Viet Nam,12.557 ,36.300 ,26.607 ,4.533 
2023,Asia,Viet Nam,13.260 ,36.300 ,26.656 ,4.555 
